,team,sketch_title,writer,link,writer_clean
0,212,Acting Teacher,Written by Kassia Miller,https://www.youtube.com/watch?v=VyeAj3jHI70,Kassia Miller
1,212,AMERICA'S NEXT TOP WOODEN BOX MAKER,Written By: Erik Tanouye,https://www.youtube.com/watch?v=zaEZ73WqKRI,Erik Tanouye
2,212,Bad Boys High School,by Ryan Hunter,https://www.youtube.com/watch?v=uWqsXF-d5kU,Ryan Hunter
3,212,Basketball,Written by Kassia Miller,https://www.youtube.com/watch?v=xc7mwQCovaI,Kassia Miller
4,212,Bear Trap,By David Guzman,https://www.youtube.com/watch?v=erUnzyxx8ww,David Guzman
5,212,Ben Franklin Laundry Day,By Gwynna Forgham-Thrift,https://www.youtube.com/watch?v=ER27zFkjsc0,Gwynna Forgham-Thrift
6,212,Boogie Board Iraq,Written by Georgie Aldaco,https://www.youtube.com/watch?v=SbzQqABOPmo,Georgie Aldaco
7,212,Bull in a China Shop 2,Written by Jo Firestone,https://www.youtube.com/watch?v=-dnGyE57o7Q,Jo Firestone
8,212,Bull in a China Shop,Written by Jo Firestone,https://www.youtube.com/watch?v=AZGVc6iM3eY,Jo Firestone
9,212,CABLE GUY AND SEX AND THE CITY,Written by Achilles Stamatelaky,https://www.youtube.com/watch?v=5NWmO_SzY-o,Achilles Stamatelaky
10,212,Can I Smell Your Hair?,Written by Achilles Stamatelaky,https://www.youtube.com/watch?v=sWWcAVhTYVY,Achilles Stamatelaky
11,212,Castro Announcement,"Written by David Guzman, pitch by Russ Armstrong",https://www.youtube.com/watch?v=L_nwSSgT6gU,"David Guzman, pitch Russ Armstrong"
12,212,Chip Briefcase,by Georgie Aldaco,https://www.youtube.com/watch?v=YBM34dRPDKk,Georgie Aldaco
13,212,Clickbait Writer,Writen By: Achilles Stamatelaky,https://www.youtube.com/watch?v=IOa4ozbGmgs,Achilles Stamatelaky
14,212,Closed Dog Park,Written by David Guzman,https://www.youtube.com/watch?v=ZCba2Bfsj2Y,David Guzman
15,212,Cocktail Party,Written by: Kassia Miller,https://www.youtube.com/watch?v=yjhEk3nX3F4,Kassia Miller
16,212,Cody Misses Wine,Written by Erik Tanouye,https://www.youtube.com/watch?v=PZp9K1vHQ5E,Erik Tanouye
17,212,Colonial Tavern Tour,Written by: Kassia Miller,https://www.youtube.com/watch?v=IsoKJ583E7M,Kassia Miller
18,212,Come Up to the Lodge,Writen by: Achilles Stamatelaky,https://www.youtube.com/watch?v=kYbUIpAzNR4,Achilles Stamatelaky
19,212,Commercial People,Written By: by Ari Scott,https://www.youtube.com/watch?v=EDorVe2KCTk,Ari Scott
20,212,Congresswoman Stuffs Bra,Written by Kassia Miller,https://www.youtube.com/watch?v=xQ9E07dD3Qk,Kassia Miller
21,212,Cool Mom Judge,Written by Ari Scott,https://www.youtube.com/watch?v=k-FJVN9SRcg,Ari Scott
22,212,Cory Rose,Written by Jo Firestone,https://www.youtube.com/watch?v=FY7eqNua1bI,Jo Firestone
23,212,Creepy Doll,by Achilles Stamatelaky,https://www.youtube.com/watch?v=IYOwT5YO0Sc,Achilles Stamatelaky
24,212,Definition of Insanity,Written by Kassia Miller,https://www.youtube.com/watch?v=2OMot689T2w,Kassia Miller
25,212,Dirt Dawg (runner),Written by: Erik Tanouye,https://www.youtube.com/watch?v=766idhqygas,Erik Tanouye
26,212,Dolphin Woman - Best Of (212),Written by Jess Kane,https://www.youtube.com/watch?v=ABSrvmfYE9M,Jess Kane
27,212,Dolphin Woman,Written by Jessica Kane,https://www.youtube.com/watch?v=ZZDhVYsBC34,Jessica Kane
28,212,DOUCHEBAG QUESTIONNAIRE,Written by: Achilles Stamatelaky,https://www.youtube.com/watch?v=8J7yIwZiiN8,Achilles Stamatelaky
29,212,Dr  Love,Written by: Ari Scott,https://www.youtube.com/watch?v=eknsncFx0Gg,Ari Scott
30,212,Easter Egg Birth,Written by Tim Martin,https://www.youtube.com/watch?v=-YsmTZlCU_I,Tim Martin
31,212,Eddie Dunn's Scary Stories 1,Writen by: Erik Tanouye,https://www.youtube.com/watch?v=rhiWh5RElDA,Erik Tanouye
32,212,Eddie Dunn's Scary Stories 2,Writen By: Erik Tanouye,https://www.youtube.com/watch?v=smJkygfPjVw,Erik Tanouye
33,212,Eddie Dunn's Scary Stories 3,Written By: Erik Tanouye,https://www.youtube.com/watch?v=5LAjyJVbjzg,Erik Tanouye
